被试ID:130123xx,,,,,,
被试姓名:Test,,,,,,
被试性别:男,,,,,,
被试生日:2026/4/15,,,,,,
设备ID:,,,,,,
采样率:100,,,,,,
数据单位:,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Index,1,2,3,4,5,6
0,4333535,4412171,3576485,,,5033762
1,4333535,4412365,3576291,,,5036098
2,4326396,4412220,3575686,,,5039287
3,4327147,4412123,3575686,,,5032934
4,4334662,4411928,3575928,,,5031985
5,4333359,4411370,3575735,,,5038435
6,4328550,4411443,3576170,,,5037778
7,4335087,4410837,3576219,,,5030841
8,4337041,4410812,3575589,,,5030525
9,4330128,4410812,3575517,,,5036682
10,4330579,4410448,3575493,,,5036682
11,4338244,4410133,3574766,,,5035758
12,4338244,4409623,3574597,,,5029527
13,4338419,4409769,3574451,,,5031815
14,4331606,4408628,3574451,,,5035977
15,4334186,4408239,3574354,,,5029673
16,4340598,4408337,3574088,,,5028675
17,4335488,4407609,3574718,,,5035052
18,4333334,4406686,3574330,,,5034930
19,4339797,4406614,3574161,,,5027871
20,4339972,4406614,3573870,,,5027579
21,4332683,4406517,3573507,,,5027579
22,4331856,4405764,3573580,,,5033908
23,4331856,4405619,3574039,,,5031181
24,4339346,4404599,3574233,,,5027117
25,4338769,4404818,3573918,,,5032228
26,4331631,4403774,3573918,,,5033348
27,4333034,4403847,3574476,,,5028017
28,4339421,4403944,3574572,,,5027896
29,4334211,4403701,3574354,,,5034979
30,4331005,4403264,3574161,,,5035344
31,4337191,4403264,3573604,,,5029527
32,4337718,4402440,3573991,,,5029527
33,4330754,4402779,3573846,,,5029867
34,4330754,4402731,3573943,,,5036536
35,4331205,4401542,3574306,,,5034760
36,4338720,4401517,3574306,,,5029089
37,4338594,4401032,3574306,,,5033275
38,4332007,4400619,3574039,,,5034857
39,4335664,4400644,3574161,,,5028967
40,4338895,4400012,3573822,,,5028407
41,4332382,4400086,3574209,,,5035222
42,4331380,4400086,3574064,,,5035222
43,4338018,4399819,3574039,,,5035320
44,4338268,4399503,3573991,,,5028650
45,4338268,4399479,3574136,,,5029478
46,4330980,4398459,3574039,,,5035977
47,4331856,4399018,3573797,,,5031693
48,4337818,4398581,3573797,,,5029600
49,4334662,4398265,3574161,,,5035904
50,4332207,4398265,3574088,,,5036999
51,4338870,4397901,3573749,,,5030573
52,4340974,4398047,3574064,,,5031376
53,4334662,4398047,3574233,,,5031376
54,4334837,4398241,3574403,,,5039068
55,4334837,4398023,3573676,,,5038873
56,4342051,4398338,3573652,,,5034322
57,4342176,4398556,3573313,,,5040358
58,4334962,4398775,3573337,,,5042500
59,4334737,4398168,3573337,,,5037413
60,4341750,4398411,3573894,,,5036853
61,4340147,4397877,3574161,,,5043911
62,4334161,4397707,3574427,,,5044471
63,4336641,4398411,3574403,,,5038338
64,4342101,4398411,3574742,,,5038338
65,4338544,4397780,3574233,,,5038484
66,4338544,4397731,3573822,,,5045226
67,4335238,4397440,3574136,,,5045055
68,4342627,4397877,3574136,,,5039895
69,4343353,4397440,3574039,,,5041770
70,4336891,4396615,3574039,,,5047173
71,4337242,4396372,3574016,,,5044788
72,4344205,4396081,3574016,,,5040723
73,4343904,4396809,3574185,,,5045421
74,4337392,4396081,3574088,,,5047368
75,4342301,4396081,3574161,,,5047368
76,4345132,4395960,3573628,,,5041185
77,4345132,4396397,3573773,,,5040041
78,4338720,4395765,3573918,,,5046905
79,4338244,4395765,3574330,,,5046394
80,4345582,4396032,3574330,,,5039701
81,4345032,4395596,3574330,,,5041039
82,4337843,4395450,3574354,,,5046346
83,4338669,4395620,3574039,,,5041989
84,4345132,4395863,3573604,,,5039895
85,4342502,4395086,3573943,,,5046979
86,4337592,4395086,3573531,,,5046979
87,4341750,4394746,3573507,,,5047538
88,4341750,4395256,3573749,,,5041429
89,4344956,4394674,3573555,,,5042111
90,4338995,4394431,3573725,,,5049096
91,4337893,4394479,3573362,,,5047635
92,4345157,4394334,3573362,,,5042427
93,4345057,4393994,3573241,,,5045664
94,4337818,4393169,3573265,,,5048755
95,4338194,4393436,3573265,,,5044423
96,4345081,4393581,3573555,,,5044423
97,4339446,4393581,3573362,,,5042622
98,4337367,4393606,3574039,,,5049145
99,4337367,4393339,3574016,,,5049851
100,4345457,4393023,3573894,2950568,4262672,5043157
101,4345558,4392902,3573482,2950959,4263017,5044374
102,4338544,4392562,3573434,2951593,4262919,5051092
103,4338620,4393023,3573434,2952105,4262672,5049778
104,4346058,4392659,3574016,2952202,4262401,5045494
105,4345633,4392683,3573943,2952202,4262401,5051895
106,4338945,4392853,3574112,2952690,4262180,5052260
107,4342176,4392368,3573749,2952690,4261959,5052260
108,4346409,4392368,3573676,2952714,4261639,5046078
109,4339922,4392271,3573652,2952617,4262180,5045786
110,4339922,4391543,3572829,2952592,4261688,5051895
111,4339596,4391033,3573047,2952568,4261910,5052309
112,4347185,4392077,3573482,2952227,4261590,5045494
113,4347136,4391082,3573482,2952251,4261565,5046687
114,4339596,4391664,3573482,2952178,4261811,5051774
