被试ID:130123xx,,,,,,
被试姓名:Test,,,,,,
被试性别:男,,,,,,
被试生日:2026/4/15,,,,,,
设备ID:,,,,,,
采样率:100,,,,,,
数据单位:,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Index,1,2,3,4,5,6
0,4080379,4918927,3707265,3139392,4840560,4767941
1,4080880,4918636,3707604,3139611,4840437,4768428
2,4081356,4918393,3707700,3139538,4841150,4768914
3,4082859,4918587,3708015,3139904,4841077,4767989
4,4082784,4918151,3708015,3139782,4841077,4767989
5,4083260,4918151,3708451,3139782,4840978,4768695
6,4083836,4918199,3709178,3139684,4840978,4769474
7,4084487,4918879,3709105,3139757,4841372,4770228
8,4084587,4918563,3708766,3140148,4841593,4769766
9,4084587,4918345,3708717,3140099,4841938,4769985
10,4084387,4918126,3708233,3140245,4842798,4770058
11,4084212,4918515,3707652,3140099,4843118,4770204
12,4085890,4918466,3707749,3140586,4842504,4770545
13,4085539,4918660,3707725,3140879,4842331,4769595
14,4085539,4918733,3707870,3141099,4842331,4769377
15,4084963,4917787,3707821,3141099,4842380,4769377
16,4085339,4917787,3707821,3141196,4842331,4769815
17,4086215,4918199,3707773,3141123,4842479,4769644
18,4086291,4917956,3708185,3140733,4842430,4769449
19,4085790,4917956,3708475,3140538,4842430,4769474
20,4085790,4917471,3708088,3140830,4842184,4770618
21,4085314,4918078,3708185,3140977,4842184,4771811
22,4085865,4917859,3708136,3141123,4841691,4772127
23,4086466,4918126,3707652,3141318,4841691,4771713
24,4085765,4917908,3707386,3141732,4841888,4771957
25,4085840,4917738,3707289,3142171,4841888,4772760
26,4085564,4917617,3706974,3142171,4841273,4772760
27,4086165,4917617,3706974,3142830,4840978,4772882
28,4086215,4917714,3707144,3142976,4840633,4771762
29,4085063,4918102,3707361,3143147,4840511,4771300
30,4085138,4917835,3707386,3143488,4839945,4771689
31,4085138,4917956,3707313,3142903,4840117,4771640
32,4085815,4918005,3707507,3142684,4840462,4771640
33,4085815,4918102,3707313,3141952,4840289,4770959
34,4084888,4917787,3707410,3141928,4839896,4770861
35,4084187,4918029,3707168,3142416,4840215,4771932
36,4084187,4917884,3707604,3142489,4840215,4772103
37,4084312,4917568,3707434,3142489,4840240,4772103
38,4084487,4917568,3707434,3142659,4840757,4771129
39,4082909,4917956,3707168,3142903,4840781,4770569
40,4083034,4918224,3706829,3142562,4840953,4771129
41,4084262,4918733,3706925,3142220,4841003,4770910
42,4084262,4918151,3706805,3141879,4841224,4770350
43,4085088,4918369,3707023,3141611,4841347,4770399
44,4084337,4918539,3707265,3141586,4841126,4771080
45,4085464,4918952,3707240,3141294,4841150,4771032
46,4086541,4919485,3707119,3141464,4841150,4771348
47,4086917,4919461,3707216,3141464,4841765,4771348
48,4087192,4919631,3707216,3141709,4841741,4770837
49,4087067,4919631,3707216,3141635,4841642,4771056
50,4086942,4920044,3707289,3141391,4841888,4771640
51,4087794,4919898,3708040,3141391,4841888,4772103
52,4087618,4920044,3708015,3141367,4842331,4772005
53,4087618,4920092,3708548,3141342,4841790,4772687
54,4087268,4919315,3708669,3141270,4842036,4773393
55,4087017,4920165,3708378,3141172,4841962,4773685
56,4088244,4920262,3708088,3141196,4841864,4773758
57,4087994,4920189,3707313,3141221,4841864,4772930
58,4088269,4919510,3707265,3141221,4842110,4772930
59,4089021,4919704,3706998,3141391,4841765,4772857
60,4090023,4919704,3706998,3141391,4841519,4774001
61,4091626,4919607,3707023,3141025,4841938,4773952
62,4091901,4919267,3707119,3141245,4841716,4773563
63,4093104,4919121,3707144,3141318,4841913,4773442
64,4093104,4919485,3707507,3141416,4841667,4773855
65,4093329,4919680,3708040,3141586,4841372,4773685
66,4094957,4919170,3708548,3141757,4841593,4772906
67,4095733,4919219,3708645,3141611,4841298,4772833
68,4095208,4918830,3709274,3141611,4841298,4772979
69,4095583,4918757,3709178,3141660,4841396,4772979
70,4097111,4918539,3709274,3141855,4841913,4773368
71,4097361,4918539,3709274,3141781,4841765,4773855
72,4097086,4918709,3709250,3141562,4841077,4773660
73,4097962,4919000,3708984,3141684,4841224,4774464
74,4098389,4919024,3708742,3142220,4840953,4775681
75,4098389,4919024,3708572,3142391,4840683,4776630
76,4097988,4918684,3708257,3142855,4840585,4777165
77,4097888,4918927,3708330,3143220,4840708,4776995
78,4097737,4918709,3708475,3143416,4840708,4778066
79,4097888,4918660,3708621,3143416,4840732,4778407
80,4097387,4918660,3708669,3142781,4840757,4778407
81,4097111,4918442,3708838,3142416,4840953,4778626
82,4096911,4918442,3708572,3141928,4840806,4778918
83,4096785,4918830,3708572,3141245,4841347,4779770
84,4097437,4918417,3708960,3140806,4840683,4780622
85,4097286,4918976,3708693,3140270,4841199,4780476
86,4097286,4919121,3709323,3140684,4840732,4780257
87,4095909,4918660,3709153,3141318,4840978,4780671
88,4095959,4919049,3708911,3141830,4841199,4781230
89,4096961,4918296,3708790,3142220,4841199,4781376
90,4097061,4918952,3709153,3142220,4841175,4781060
91,4096410,4918587,3709178,3142367,4841839,4781060
