被试ID:130123xx,,,,,,
被试姓名:Test,,,,,,
被试性别:男,,,,,,
被试生日:2026/4/15,,,,,,
设备ID:,,,,,,
采样率:100,,,,,,
数据单位:,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Index,1,2,3,4,5,6
0,5047890,6139320,4571364,3666185,4965885,6144068
1,5051572,6139078,4570976,3667160,4969010,6145553
2,5051572,6138398,4570613,3668453,4971789,6145674
3,5052624,6138398,4570589,3668965,4973364,6145674
4,5051722,6138811,4570830,3670208,4975160,6148376
5,5052173,6138811,4570637,3670208,4975160,6150202
6,5053626,6140801,4570468,3671013,4977202,6149131
7,5052448,6142572,4570589,3670965,4978924,6149520
8,5052323,6143034,4570589,3671379,4980400,6152344
9,5054352,6143786,4570516,3671501,4982000,6152173
10,5055054,6145582,4570370,3672208,4983623,6151078
11,5053000,6145533,4570274,3673525,4986133,6154072
12,5054227,6145315,4569959,3673818,4987880,6154559
13,5054227,6146067,4569596,3674354,4989454,6153147
14,5056005,6146553,4569620,3674476,4990143,6153147
15,5054377,6148179,4569717,3674452,4990143,6154437
16,5055354,6148179,4569935,3674452,4989897,6156409
17,5058109,6149270,4570322,3674183,4988962,6155703
18,5056657,6152013,4570468,3674305,4988913,6155483
19,5056556,6154367,4570468,3674818,4989922,6157747
20,5058786,6155435,4570104,3674915,4991225,6157358
21,5059211,6157279,4570007,3674744,4993538,6155605
22,5057709,6158590,4569959,3674134,4995506,6157577
23,5057709,6160580,4569765,3674134,4996564,6158331
24,5058335,6161211,4569499,3673354,4997524,6156262
25,5060263,6160919,4570249,3673257,4998557,6156262
26,5058285,6161939,4569765,3673257,4998557,6156530
27,5058710,6161939,4570177,3673208,4999221,6158331
28,5060915,6162837,4569741,3672793,5001263,6157212
29,5062167,6163710,4570322,3672866,5003133,6156092
30,5060764,6166331,4570322,3672525,5004339,6158429
31,5062994,6167836,4570177,3672379,5005618,6158501
32,5065724,6170311,4570322,3672306,5006823,6156652
33,5064622,6172180,4570613,3672354,5007709,6157285
34,5064622,6173928,4570710,3672257,5008644,6159305
35,5065874,6176646,4570468,3672208,5009751,6158380
36,5069206,6179534,4570564,3672208,5011350,6158380
37,5070433,6181742,4571024,3672208,5011350,6157601
38,5069331,6181742,4570540,3671672,5012605,6160132
39,5070708,6184388,4571315,3671427,5013712,6159719
40,5072762,6186232,4571484,3670794,5015237,6156944
41,5071134,6188052,4571073,3670672,5015975,6156968
42,5071835,6190333,4571073,3671281,5017575,6158940
43,5075167,6192493,4570758,3670989,5018042,6157917
44,5074916,6194920,4570830,3670672,5019469,6157260
45,5074916,6197493,4571097,3670794,5019494,6158988
46,5072261,6199216,4570830,3671306,5020059,6158988
47,5072937,6201570,4571145,3671476,5020576,6159427
48,5072587,6202929,4571145,3671476,5020576,6157674
49,5069280,6202929,4571121,3670916,5020945,6158355
50,5068304,6203099,4571654,3670355,5021979,6159353
51,5069506,6204968,4571775,3669794,5022741,6157358
52,5068429,6205526,4571509,3670184,5022716,6157358
53,5066475,6206642,4571509,3670379,5023086,6159402
54,5069030,6207467,4571726,3670281,5023676,6158964
55,5068404,6208923,4571460,3670550,5023996,6157650
56,5068404,6209239,4571121,3670574,5023775,6159256
57,5066350,6210113,4571000,3670696,5023209,6159256
58,5066450,6209991,4571000,3670696,5023209,6160230
59,5068705,6210622,4571073,3670135,5022593,6158234
60,5067903,6210622,4571364,3670355,5022520,6158477
61,5066951,6211569,4571218,3670403,5022520,6161082
62,5069456,6211350,4571291,3670208,5022839,6160497
63,5069882,6211739,4570928,3670379,5022569,6159768
64,5067853,6211739,4570928,3669842,5022028,6161885
65,5067703,6212297,4571024,3669550,5021339,6162323
66,5069856,6212078,4570782,3669965,5020748,6160473
67,5069856,6212127,4570879,3669916,5020921,6160035
68,5068354,6212758,4570613,3669867,5020847,6160035
69,5068253,6212588,4570637,3669867,5020847,6161836
70,5070232,6213995,4570492,3669745,5021290,6160887
71,5070333,6213995,4570903,3669891,5021167,6159353
72,5068479,6214456,4571049,3669306,5020699,6161861
73,5070082,6215597,4571242,3669209,5019961,6162031
74,5071284,6216277,4571024,3669038,5019223,6160741
75,5069105,6215815,4571024,3668477,5018116,6162007
76,5069005,6216034,4571097,3668623,5017378,6163710
77,5069706,6216786,4571266,3668819,5017181,6161690
78,5069706,6217005,4571339,3669087,5016296,6162396
79,5068204,6216592,4571266,3669087,5015213,6162396
80,5067752,6217975,4571291,3668648,5015213,6165293
81,5070182,6218388,4571630,3668623,5012260,6164270
82,5069832,6218388,4571436,3668306,5008250,6164489
83,5068529,6218339,4572138,3668331,5003551,6166290
84,5069355,6218170,4571872,3668526,4998877,6166874
85,5070533,6218364,4571896,3668453,4995334,6165171
86,5068579,6218582,4571896,3667989,4992800,6165755
87,5068028,6217757,4571775,3667574,4990315,6167678
88,5070408,6217684,4571678,3667014,4987855,6165317
89,5070408,6216568,4571605,3666673,4985370,6165633
90,5069406,6217296,4571412,3666673,4983131,6165633
91,5067803,6215549,4571484,3666063,4983131,6167946
